Date,generatedCoin
01-Jul-15,3375
02-Jul-15,3850
03-Jul-15,4025
04-Jul-15,3800
05-Jul-15,3550
06-Jul-15,4525
07-Jul-15,3350
08-Jul-15,4025
09-Jul-15,3325
10-Jul-15,3850
11-Jul-15,3700
12-Jul-15,3375
13-Jul-15,3700
14-Jul-15,3600
15-Jul-15,3825
16-Jul-15,3350
17-Jul-15,3675
18-Jul-15,3725
19-Jul-15,3800
20-Jul-15,3900
21-Jul-15,3175
22-Jul-15,3850
23-Jul-15,3500
24-Jul-15,4225
25-Jul-15,3850
26-Jul-15,3600
27-Jul-15,3725
28-Jul-15,3400
29-Jul-15,3800
30-Jul-15,3350
31-Jul-15,3775
01-Aug-15,3875
02-Aug-15,3775
03-Aug-15,3925
04-Aug-15,3400
05-Aug-15,3325
06-Aug-15,3575
07-Aug-15,3425
08-Aug-15,4025
09-Aug-15,3550
10-Aug-15,4175
11-Aug-15,4050
12-Aug-15,3150
13-Aug-15,3675
14-Aug-15,3550
15-Aug-15,3425
16-Aug-15,3450
17-Aug-15,3675
18-Aug-15,3525
19-Aug-15,3900
20-Aug-15,3750
21-Aug-15,4125
22-Aug-15,3950
23-Aug-15,3350
24-Aug-15,3875
25-Aug-15,3375
26-Aug-15,4025
27-Aug-15,3425
28-Aug-15,3875
29-Aug-15,4000
30-Aug-15,3750
31-Aug-15,3925
01-Sep-15,3850
02-Sep-15,4000
03-Sep-15,3650
04-Sep-15,3900
05-Sep-15,3675
06-Sep-15,3600
07-Sep-15,3800
08-Sep-15,3400
09-Sep-15,3725
10-Sep-15,4275
11-Sep-15,3950
12-Sep-15,3375
13-Sep-15,3775
14-Sep-15,3800
15-Sep-15,4000
16-Sep-15,3550
17-Sep-15,3600
18-Sep-15,3675
19-Sep-15,3125
20-Sep-15,3200
21-Sep-15,3300
22-Sep-15,3925
23-Sep-15,3950
24-Sep-15,3500
25-Sep-15,4100
26-Sep-15,3675
27-Sep-15,3725
28-Sep-15,3575
29-Sep-15,4350
30-Sep-15,3700
01-Oct-15,3725
02-Oct-15,3450
03-Oct-15,3625
04-Oct-15,3825
05-Oct-15,3825
06-Oct-15,3550
07-Oct-15,3325
08-Oct-15,3500
09-Oct-15,3150
10-Oct-15,4000
11-Oct-15,3650
12-Oct-15,3550
13-Oct-15,3425
14-Oct-15,3800
15-Oct-15,4150
16-Oct-15,3600
17-Oct-15,3400
18-Oct-15,3625
19-Oct-15,4125
20-Oct-15,3200
21-Oct-15,3600
22-Oct-15,3700
23-Oct-15,3725
24-Oct-15,3625
25-Oct-15,3875
26-Oct-15,4100
27-Oct-15,3675
28-Oct-15,3475
29-Oct-15,3775
30-Oct-15,4275
31-Oct-15,3675
01-Nov-15,3825
02-Nov-15,3825
03-Nov-15,3875
04-Nov-15,3875
05-Nov-15,3650
06-Nov-15,3625
07-Nov-15,3800
08-Nov-15,3475
09-Nov-15,3725
10-Nov-15,3650
11-Nov-15,4200
12-Nov-15,4025
13-Nov-15,4000
14-Nov-15,3550
15-Nov-15,4000
16-Nov-15,4325
17-Nov-15,3725
18-Nov-15,3825
19-Nov-15,3400
20-Nov-15,4175
21-Nov-15,4350
22-Nov-15,4300
23-Nov-15,4075
24-Nov-15,3900
25-Nov-15,3700
26-Nov-15,4400
27-Nov-15,3325
28-Nov-15,3850
29-Nov-15,3725
30-Nov-15,4050
01-Dec-15,4175
02-Dec-15,4025
03-Dec-15,3550
04-Dec-15,3825
05-Dec-15,4375
06-Dec-15,3975
07-Dec-15,3675
08-Dec-15,4375
09-Dec-15,4200
10-Dec-15,5400
11-Dec-15,4000
12-Dec-15,4050
13-Dec-15,3550
14-Dec-15,4875
15-Dec-15,4575
16-Dec-15,4075
17-Dec-15,3875
18-Dec-15,4225
19-Dec-15,3925
20-Dec-15,4125
21-Dec-15,3725
22-Dec-15,3750
23-Dec-15,3925
24-Dec-15,3450
25-Dec-15,4050
26-Dec-15,4275
27-Dec-15,5125
28-Dec-15,3775
29-Dec-15,3975
30-Dec-15,4125
31-Dec-15,3550
01-Jan-16,3375
02-Jan-16,3625
03-Jan-16,3625
04-Jan-16,4525
05-Jan-16,3925
06-Jan-16,3525
07-Jan-16,3675
08-Jan-16,4325
09-Jan-16,3775
10-Jan-16,4375
11-Jan-16,4250
12-Jan-16,4250
13-Jan-16,3700
14-Jan-16,3325
15-Jan-16,3050
16-Jan-16,3550
17-Jan-16,3775
18-Jan-16,4325
19-Jan-16,3325
20-Jan-16,3800
21-Jan-16,3425
22-Jan-16,4400
23-Jan-16,4475
24-Jan-16,4275
25-Jan-16,4050
26-Jan-16,4000
27-Jan-16,3875
28-Jan-16,3650
29-Jan-16,4225
30-Jan-16,4675
31-Jan-16,4525
01-Feb-16,4025
02-Feb-16,4500
03-Feb-16,4475
04-Feb-16,4200
05-Feb-16,4700
06-Feb-16,5000
07-Feb-16,4400
08-Feb-16,3700
09-Feb-16,4400
10-Feb-16,4100
11-Feb-16,4800
12-Feb-16,4275
13-Feb-16,3900
14-Feb-16,4150
15-Feb-16,3800
16-Feb-16,3450
17-Feb-16,3875
18-Feb-16,4225
19-Feb-16,3625
20-Feb-16,3750
21-Feb-16,3200
22-Feb-16,3175
23-Feb-16,3400
24-Feb-16,2950
25-Feb-16,3875
26-Feb-16,3500
27-Feb-16,3675
28-Feb-16,3350
29-Feb-16,3325
01-Mar-16,3525
02-Mar-16,3925
03-Mar-16,3375
04-Mar-16,3875
05-Mar-16,3750
06-Mar-16,3700
07-Mar-16,3325
08-Mar-16,3850
09-Mar-16,4200
10-Mar-16,3875
11-Mar-16,4000
12-Mar-16,3600
13-Mar-16,3325
14-Mar-16,3800
15-Mar-16,4025
16-Mar-16,3800
17-Mar-16,3525
18-Mar-16,3400
19-Mar-16,3400
20-Mar-16,3650
21-Mar-16,3475
22-Mar-16,3700
23-Mar-16,3725
24-Mar-16,3675
25-Mar-16,3650
26-Mar-16,3825
27-Mar-16,3525
28-Mar-16,4250
29-Mar-16,3925
30-Mar-16,3675
31-Mar-16,3100
01-Apr-16,3825
02-Apr-16,3475
03-Apr-16,3550
04-Apr-16,4150
05-Apr-16,3875
06-Apr-16,3925
07-Apr-16,3475
08-Apr-16,3600
09-Apr-16,4050
10-Apr-16,4325
11-Apr-16,3825
12-Apr-16,3700
13-Apr-16,4100
14-Apr-16,4100
15-Apr-16,3475
16-Apr-16,3450
17-Apr-16,3950
18-Apr-16,3350
19-Apr-16,3750
20-Apr-16,4125
21-Apr-16,3775
22-Apr-16,3575
23-Apr-16,3600
24-Apr-16,3300
25-Apr-16,3175
26-Apr-16,3775
27-Apr-16,3225
28-Apr-16,3375
29-Apr-16,3950
30-Apr-16,3650
01-May-16,3875
02-May-16,3925
03-May-16,3775
04-May-16,4175
05-May-16,3875
06-May-16,4050
07-May-16,3750
08-May-16,4200
09-May-16,4275
10-May-16,3950
11-May-16,3325
12-May-16,3475
13-May-16,3800
14-May-16,3600
15-May-16,3475
16-May-16,3525
17-May-16,3525
18-May-16,3825
19-May-16,3000
20-May-16,3725
21-May-16,3525
22-May-16,4600
23-May-16,4500
24-May-16,3675
25-May-16,3450
26-May-16,3375
27-May-16,3475
28-May-16,3325
29-May-16,3675
30-May-16,3600
31-May-16,3175
01-Jun-16,3575
02-Jun-16,3450
03-Jun-16,3550
04-Jun-16,2975
05-Jun-16,4250
06-Jun-16,4250
07-Jun-16,3500
08-Jun-16,3600
09-Jun-16,4125
10-Jun-16,3600
11-Jun-16,3900
12-Jun-16,3650
13-Jun-16,4025
14-Jun-16,3300
15-Jun-16,3800
16-Jun-16,3725
17-Jun-16,3725
18-Jun-16,3950
19-Jun-16,4425
20-Jun-16,4100
21-Jun-16,3725
22-Jun-16,3225
23-Jun-16,3500
24-Jun-16,3225
25-Jun-16,4050
26-Jun-16,3650
27-Jun-16,3675
28-Jun-16,3700
29-Jun-16,3650
30-Jun-16,3750
01-Jul-16,3875
02-Jul-16,3725
03-Jul-16,3850
04-Jul-16,3775
05-Jul-16,3625
06-Jul-16,3500
07-Jul-16,3425
08-Jul-16,3625
09-Jul-16,3125
10-Jul-16,1950
11-Jul-16,1788
12-Jul-16,1788
13-Jul-16,1613
14-Jul-16,1763
15-Jul-16,1688
16-Jul-16,1963
17-Jul-16,1863
18-Jul-16,1850
19-Jul-16,1600
20-Jul-16,1875
21-Jul-16,1663
22-Jul-16,1613
23-Jul-16,1638
24-Jul-16,1550
25-Jul-16,1638
26-Jul-16,1613
27-Jul-16,1600
28-Jul-16,1700
29-Jul-16,1838
30-Jul-16,1488
31-Jul-16,1925
01-Aug-16,1913
02-Aug-16,1925
03-Aug-16,2075
04-Aug-16,1913
05-Aug-16,2113
06-Aug-16,2075
07-Aug-16,1850
08-Aug-16,1850
09-Aug-16,1550
10-Aug-16,1888
11-Aug-16,1875
12-Aug-16,1863
13-Aug-16,2038
14-Aug-16,2038
15-Aug-16,1825
16-Aug-16,1688
17-Aug-16,1538
18-Aug-16,1925
19-Aug-16,1925
20-Aug-16,1938
21-Aug-16,2038
22-Aug-16,1975
23-Aug-16,1838
24-Aug-16,1900
25-Aug-16,1625
26-Aug-16,1650
27-Aug-16,1800
28-Aug-16,1900
29-Aug-16,1863
30-Aug-16,2050
31-Aug-16,1675
01-Sep-16,1750
02-Sep-16,1913
03-Sep-16,1575
04-Sep-16,2238
05-Sep-16,1750
06-Sep-16,1700
07-Sep-16,1900
08-Sep-16,1800
09-Sep-16,1775
10-Sep-16,1938
11-Sep-16,2050
12-Sep-16,2038
13-Sep-16,2063
14-Sep-16,1950
15-Sep-16,1925
16-Sep-16,1738
17-Sep-16,2038
18-Sep-16,1813
19-Sep-16,1663
20-Sep-16,1888
21-Sep-16,2075
22-Sep-16,1763
23-Sep-16,1700
24-Sep-16,2075
25-Sep-16,2313
26-Sep-16,1913
27-Sep-16,2088
28-Sep-16,1850
29-Sep-16,1788
30-Sep-16,1775
01-Oct-16,1963
02-Oct-16,1763
03-Oct-16,1888
04-Oct-16,1975
05-Oct-16,2088
06-Oct-16,2013
07-Oct-16,1788
08-Oct-16,2113
09-Oct-16,2000
10-Oct-16,1550
11-Oct-16,1738
12-Oct-16,1800
13-Oct-16,1600
14-Oct-16,1700
15-Oct-16,1775
16-Oct-16,1625
17-Oct-16,1563
18-Oct-16,1938
19-Oct-16,1563
20-Oct-16,1675
21-Oct-16,2050
22-Oct-16,1863
23-Oct-16,1800
24-Oct-16,1788
25-Oct-16,1738
26-Oct-16,1725
27-Oct-16,2025
28-Oct-16,1900
29-Oct-16,1863
30-Oct-16,2100
31-Oct-16,1838
01-Nov-16,1800
02-Nov-16,1663
03-Nov-16,1938
04-Nov-16,1450
05-Nov-16,1838
06-Nov-16,1913
07-Nov-16,1825
08-Nov-16,2113
09-Nov-16,1838
10-Nov-16,2100
11-Nov-16,2038
12-Nov-16,2100
13-Nov-16,1775
14-Nov-16,2150
15-Nov-16,1950
16-Nov-16,2138
17-Nov-16,1988
18-Nov-16,1850
19-Nov-16,1775
20-Nov-16,1600
21-Nov-16,1738
22-Nov-16,1675
23-Nov-16,1838
24-Nov-16,2025
25-Nov-16,1900
26-Nov-16,1913
27-Nov-16,1800
28-Nov-16,2050
29-Nov-16,1863
30-Nov-16,1775
01-Dec-16,1825
02-Dec-16,1788
03-Dec-16,2150
04-Dec-16,1850
05-Dec-16,1900
06-Dec-16,1875
07-Dec-16,2175
08-Dec-16,1963
09-Dec-16,1688
10-Dec-16,1650
11-Dec-16,2338
12-Dec-16,1950
13-Dec-16,2225
14-Dec-16,1738
15-Dec-16,1588
16-Dec-16,1663
17-Dec-16,1800
18-Dec-16,1763
19-Dec-16,1888
20-Dec-16,1725
21-Dec-16,1988
22-Dec-16,1988
23-Dec-16,1900
24-Dec-16,1713
25-Dec-16,2063
26-Dec-16,1775
27-Dec-16,1950
28-Dec-16,2050
29-Dec-16,1875
30-Dec-16,1963
31-Dec-16,1850
01-Jan-17,1950
02-Jan-17,1988
03-Jan-17,2050
04-Jan-17,1913
05-Jan-17,1750
06-Jan-17,2013
07-Jan-17,1725
08-Jan-17,2088
09-Jan-17,1700
10-Jan-17,2000
11-Jan-17,1913
12-Jan-17,2150
13-Jan-17,1875
14-Jan-17,2150
15-Jan-17,2088
16-Jan-17,2113
17-Jan-17,1975
18-Jan-17,1875
19-Jan-17,2175
20-Jan-17,2363
21-Jan-17,2263
22-Jan-17,2175
23-Jan-17,1725
24-Jan-17,1863
25-Jan-17,1863
26-Jan-17,1938
27-Jan-17,2125
28-Jan-17,1900
29-Jan-17,2088
30-Jan-17,1800
31-Jan-17,1813
01-Feb-17,2400
02-Feb-17,1963
03-Feb-17,1863
04-Feb-17,1800
05-Feb-17,1988
06-Feb-17,1563
07-Feb-17,1888
08-Feb-17,1825
09-Feb-17,2113
10-Feb-17,1838
11-Feb-17,1738
12-Feb-17,1750
13-Feb-17,2038
14-Feb-17,2113
15-Feb-17,1738
16-Feb-17,1888
17-Feb-17,1888
18-Feb-17,1888
19-Feb-17,1675
20-Feb-17,1850
21-Feb-17,1725
22-Feb-17,1725
23-Feb-17,1875
24-Feb-17,2038
25-Feb-17,2088
26-Feb-17,2225
27-Feb-17,1800
28-Feb-17,1913
01-Mar-17,1800
02-Mar-17,1963
03-Mar-17,1888
04-Mar-17,1650
05-Mar-17,1838
06-Mar-17,1775
07-Mar-17,1913
08-Mar-17,1775
09-Mar-17,1850
10-Mar-17,1950
11-Mar-17,1863
12-Mar-17,1938
13-Mar-17,1813
14-Mar-17,1950
15-Mar-17,1775
16-Mar-17,1913
17-Mar-17,1925
18-Mar-17,1963
19-Mar-17,2063
20-Mar-17,1700
21-Mar-17,1775
22-Mar-17,1988
23-Mar-17,1850
24-Mar-17,2200
25-Mar-17,1663
26-Mar-17,2075
27-Mar-17,1650
28-Mar-17,1938
29-Mar-17,1725
30-Mar-17,2050
31-Mar-17,1688
01-Apr-17,1650
02-Apr-17,1975
03-Apr-17,2200
04-Apr-17,1563
05-Apr-17,2025
06-Apr-17,1838
07-Apr-17,2025
08-Apr-17,1713
09-Apr-17,1988
10-Apr-17,1838
11-Apr-17,2088
12-Apr-17,1775
13-Apr-17,1588
14-Apr-17,1738
15-Apr-17,1875
16-Apr-17,1825
17-Apr-17,1725
18-Apr-17,1825
19-Apr-17,1788
20-Apr-17,1725
21-Apr-17,2088
22-Apr-17,1813
23-Apr-17,1913
24-Apr-17,1550
25-Apr-17,1850
26-Apr-17,1913
27-Apr-17,1838
28-Apr-17,1700
29-Apr-17,2163
30-Apr-17,1888
01-May-17,1875
02-May-17,1975
03-May-17,1650
04-May-17,2100
05-May-17,1613
06-May-17,2100
07-May-17,2088
08-May-17,2250
09-May-17,1938
10-May-17,1850
11-May-17,1688
12-May-17,1925
13-May-17,1975
14-May-17,2050
15-May-17,2125
16-May-17,1650
17-May-17,1938
18-May-17,1775
