DATE,CLOSING,OPEN,HIGH,LOW
10/13/2016,1260.25,1255.90,1267.75,1253.20
10/12/2016,1262.35,1253.05,1262.35,1250.40
10/11/2016,1245.25,,1245.25,1245.25
10/10/2016,1253.10,1257.70,1334.73,1253.10
10/09/2016,1240.25,1240.25,1240.25,1240.25
10/07/2016,1240.25,1255.50,1264.85,1240.25
10/06/2016,1254.70,1267.95,1269.45,1250.25
10/05/2016,1263.00,1268.65,1276.80,1262.10
10/04/2016,1266.25,1312.15,1334.73,1266.10
10/03/2016,1311.88,1317.45,1319.50,1309.60
10/02/2016,1312.00,1312.00,1312.00,1312.00
9/30/2016,1312.00,1321.50,1328.03,1312.00
9/29/2016,1315.80,1322.00,1325.78,1315.80
9/28/2016,1321.95,1327.05,1327.63,1318.33
9/27/2016,1326.40,1338.55,1339.58,1325.38
9/26/2016,1337.95,1337.38,1338.68,1337.38
9/25/2016,1343.20,1343.20,1343.20,1343.20
9/23/2016,1343.20,1337.65,1343.20,1333.98
9/22/2016,1343.20,1334.20,1344.05,1331.53
9/21/2016,1342.20,1315.05,1342.20,1309.58
9/20/2016,1315.10,1313.50,1317.83,1312.43
9/19/2016,1314.20,1310.05,1318.25,1309.58
9/18/2016,1303.55,1303.55,1303.55,1303.55
9/16/2016,1303.55,1315.35,1318.08,1303.55
9/15/2016,1314.80,1323.00,1327.68,1306.95
9/14/2016,1320.30,1319.00,1325.68,1316.55
9/13/2016,1318.50,1327.70,1331.98,1315.95
9/12/2016,1337.10,1328.85,1337.10,1320.65
9/09/2016,1328.05,1338.45,1339.58,1327.75
9/08/2016,1337.75,1345.88,1348.98,1336.13
9/07/2016,1344.95,1348.45,1352.48,1342.93
9/06/2016,1350.30,1326.45,1351.83,1325.23
9/05/2016,1325.55,1225.25,1328.35,1224.95
9/04/2016,1327.75,1327.75,1327.75,1327.75
9/02/2016,1327.75,1314.05,1329.48,1308.08
9/01/2016,1315.25,1310.33,1319.85,1302.83
8/31/2016,1308.95,1311.60,1316.15,1306.18
8/30/2016,1311.15,1324.05,1325.03,1309.48
8/29/2016,1327.20,1319.75,1327.55,1315.58
8/28/2016,1317.25,1317.25,1317.25,1317.25
8/26/2016,1317.25,1322.05,1341.10,1317.15
8/25/2016,1321.70,1325.40,1327.13,1318.23
8/24/2016,1323.75,1337.95,1340.08,1323.65
8/23/2016,1338.10,1339.10,1344.78,1335.93
8/22/2016,1333.75,1337.35,1339.90,1332.40
8/21/2016,1341.50,1341.50,1341.50,1341.50
8/19/2016,1341.50,1352.50,1352.88,1338.15
8/18/2016,1354.20,1350.00,1355.98,1346.55
8/17/2016,1348.75,1345.90,1350.63,1337.78
8/16/2016,1346.55,1339.95,1357.48,1339.58
8/15/2016,1348.10,1337.70,1348.10,1335.90
8/14/2016,1336.20,1336.20,1336.20,1336.20
8/12/2016,1336.20,1338.30,1355.43,1334.23
8/11/2016,1337.00,1347.25,1353.43,1336.33
8/10/2016,1340.50,1340.30,1356.88,1340.30
8/09/2016,1340.70,1335.25,1342.53,1330.78
8/08/2016,1333.00,1332.80,1338.43,1330.23
8/07/2016,1336.60,1336.60,1336.60,1336.60
8/05/2016,1336.60,1361.35,1364.73,1335.00
8/04/2016,1343.50,1358.00,1364.70,1343.40
8/03/2016,1357.90,1363.50,1366.08,1354.63
8/02/2016,1363.68,1353.30,1366.98,1347.43
8/01/2016,1352.78,1352.90,1354.93,1346.63
7/31/2016,1351.10,1351.10,1351.10,1351.10
7/29/2016,1351.10,1335.75,1355.08,1328.78
7/28/2016,1335.50,1338.55,1345.13,1332.83
7/27/2016,1347.50,1319.60,1347.50,1316.68
7/26/2016,1316.00,1315.40,1323.98,1314.23
7/25/2016,1315.70,1322.30,1323.83,1312.70
7/24/2016,1323.18,1323.18,1323.18,1323.18
7/22/2016,1323.18,1331.00,1333.73,1320.18
7/21/2016,1339.00,1313.80,1339.00,1310.98
7/20/2016,1310.50,1332.40,1335.68,1310.50
7/19/2016,1334.80,1328.70,1334.80,1325.95
7/18/2016,1326.00,1333.25,1334.90,1324.00
7/17/2016,1337.85,1337.85,1337.85,1337.85
7/15/2016,1337.85,1335.95,1338.70,1322.88
7/14/2016,1335.10,1343.50,1347.05,1320.58
7/13/2016,1347.50,1332.15,1347.50,1328.10
7/12/2016,1332.50,1355.70,1357.70,1331.08
7/11/2016,1355.25,1368.80,1374.28,1352.13
7/08/2016,1366.80,1359.45,1367.35,1336.18
7/07/2016,1363.00,1363.00,1370.08,1351.48
7/06/2016,1363.90,1357.05,1375.08,1356.30
7/05/2016,1360.00,1349.25,1360.00,1338.38
7/04/2016,1351.10,1340.45,1357.23,1340.05
7/03/2016,1342.65,1342.65,1342.65,1342.65
7/01/2016,1342.65,1323.05,1344.48,1320.98
6/30/2016,1322.18,1317.90,1323.98,1313.33
6/29/2016,1328.70,1312.10,1328.70,1311.85
6/28/2016,1317.50,1324.50,1326.13,1306.13
6/27/2016,1324.80,1326.25,1335.13,1318.53
6/26/2016,1305.25,1333.75,1333.75,1305.25
6/24/2016,1333.75,1253.10,1358.25,1251.35
6/23/2016,1236.30,1263.80,1270.73,1236.30
6/22/2016,1266.33,1269.80,1270.70,1261.70
6/21/2016,1264.70,1290.20,1293.78,1263.15
6/20/2016,1290.15,1286.03,1292.28,1278.10
6/19/2016,1301.35,1301.35,1301.35,1301.35
6/17/2016,1301.35,1279.25,1301.35,1278.18
6/16/2016,1277.50,1293.45,1314.63,1277.40
6/15/2016,1291.45,1285.00,1296.53,1278.68
6/14/2016,1294.50,1283.45,1294.50,1276.68
6/13/2016,1294.50,1270.15,1294.50,1269.15
6/12/2016,1274.05,1274.05,1274.05,1274.05
6/10/2016,1274.05,1269.50,1277.58,1264.78
6/09/2016,1269.15,1261.80,1271.60,1257.35
6/08/2016,1265.50,1245.10,1265.50,1243.30
6/07/2016,1247.00,1245.25,1247.00,1235.10
6/06/2016,1248.00,1244.30,1248.63,1240.23
6/05/2016,1244.55,1244.55,1244.55,1244.55
6/03/2016,1244.55,1210.60,1244.90,1207.28
6/02/2016,1212.50,1213.05,1217.73,1209.40
6/01/2016,1214.30,1216.15,1220.08,1206.43
5/31/2016,1215.85,1207.40,1218.23,1207.35
5/30/2016,1205.05,1213.05,1213.50,1200.38
5/29/2016,1207.05,1207.05,1207.05,1207.05
5/27/2016,1207.05,1220.20,1223.28,1207.05
5/26/2016,1221.60,1219.65,1233.25,1218.78
5/25/2016,1223.50,1227.60,1230.03,1217.98
5/24/2016,1226.50,1249.25,1252.03,1226.50
5/23/2016,1250.90,1250.85,1255.83,1243.35
5/22/2016,1252.15,1252.15,1252.15,1252.15
5/20/2016,1252.15,1255.80,1259.73,1249.08
5/19/2016,1256.10,1258.85,1261.33,1244.93
5/18/2016,1258.30,1280.60,1281.43,1255.18
5/17/2016,1280.00,1274.30,1282.08,1270.00
5/16/2016,1277.00,1273.10,1288.13,1271.53
5/15/2016,1278.00,1278.00,1278.00,1278.00
5/13/2016,1278.00,1264.30,1278.85,1264.13
5/12/2016,1277.30,1278.00,1280.70,1263.65
5/11/2016,1272.60,1266.30,1278.93,1265.03
5/10/2016,1266.40,1264.30,1269.53,1257.83
5/09/2016,1263.80,1284.83,1287.38,1261.63
5/08/2016,1288.70,1288.70,1288.70,1288.70
5/06/2016,1288.70,1277.80,1295.20,1274.70
5/05/2016,1278.50,1279.95,1286.00,1269.33
5/04/2016,1270.00,1285.83,1289.48,1270.00
5/03/2016,1286.00,1292.33,1301.73,1283.03
5/02/2016,1298.70,1292.70,1303.68,1288.03
5/01/2016,1279.50,1279.50,1279.50,1279.50
4/29/2016,1279.50,1266.20,1296.03,1265.18
4/28/2016,1266.28,1245.60,1269.73,1238.48
4/27/2016,1246.58,1243.05,1250.70,1240.73
4/26/2016,1242.60,1238.15,1244.18,1231.65
4/25/2016,1234.80,1232.33,1242.08,1230.40
4/24/2016,1227.50,1227.50,1227.50,1227.50
4/22/2016,1227.50,1248.30,1252.03,1227.50
4/21/2016,1248.85,1244.10,1270.23,1243.50
4/20/2016,1244.30,1249.88,1257.63,1242.75
4/19/2016,1250.50,1232.03,1256.68,1227.93
4/18/2016,1231.55,1235.20,1241.73,1230.73
4/17/2016,1237.35,1237.35,1237.35,1237.35
4/15/2016,1237.35,1227.30,1237.35,1225.48
4/14/2016,1223.88,1242.73,1243.63,1221.55
4/13/2016,1240.00,1255.85,1256.73,1239.15
4/12/2016,1253.20,1256.80,1262.13,1251.73
4/11/2016,1257.95,1245.35,1258.45,1244.15
4/08/2016,1240.60,1239.50,1242.63,1229.83
4/07/2016,1240.85,1223.20,1243.28,1222.88
4/06/2016,1226.00,1230.50,1232.13,1217.88
4/05/2016,1221.60,1215.95,1236.23,1214.93
4/04/2016,1213.90,1220.20,1222.68,1213.90
4/03/2016,1222.45,1222.45,1222.45,1222.45
4/01/2016,1222.45,1231.78,1235.08,1209.28
3/31/2016,1232.70,1226.15,1240.28,1224.40
3/30/2016,1224.00,1241.63,1243.03,1224.00
3/29/2016,1243.30,1221.48,1244.00,1215.58
3/28/2016,1221.05,1216.65,1222.95,1208.93
3/27/2016,1217.25,1217.25,1217.25,1217.25
3/24/2016,1217.25,1222.85,1223.83,1213.13
3/23/2016,1223.23,1248.20,1249.48,1214.45
3/22/2016,1247.68,1243.83,1259.43,1242.68
3/21/2016,1243.73,1254.80,1255.30,1241.13
3/20/2016,1255.65,1255.33,1256.08,1255.08
3/18/2016,1255.38,1258.88,1266.85,1248.03
3/17/2016,1259.48,1259.90,1270.93,1254.73
3/16/2016,1259.90,1233.08,1264.03,1227.28
3/15/2016,1233.03,1235.40,1237.53,1226.78
3/14/2016,1235.60,1251.65,1260.45,1229.48
3/13/2016,1250.85,1248.15,1250.98,1248.15
3/11/2016,1245.75,1270.40,1282.88,1245.75
3/10/2016,1279.50,1252.95,1279.50,1237.55
3/09/2016,1253.00,1261.90,1264.80,1243.88
3/08/2016,1260.00,1266.43,1277.80,1260.00
3/07/2016,1267.75,1259.88,1272.73,1257.33
3/04/2016,1258.05,1262.58,1279.43,1251.88
3/03/2016,1270.10,1241.83,1270.10,1237.68
3/02/2016,1240.10,1231.58,1243.88,1225.00
3/01/2016,1223.45,1239.50,1248.38,1223.25
2/29/2016,1228.03,1218.40,1241.13,1218.18
2/28/2016,1222.75,1222.75,1222.75,1222.75
2/26/2016,1222.75,1232.55,1239.98,1212.43
2/25/2016,1245.80,1226.98,1245.80,1221.80
2/24/2016,1229.55,1227.05,1253.08,1222.13
2/23/2016,1227.28,1209.08,1227.58,1207.58
2/22/2016,1207.00,1225.13,1226.28,1202.20
2/21/2016,1224.10,1224.10,1224.10,1224.10
2/19/2016,1227.85,1231.28,1234.53,1220.18
2/18/2016,1231.50,1208.40,1239.48,1201.08
2/17/2016,1233.50,1203.13,1233.50,1196.00
2/16/2016,1197.95,1208.78,1216.73,1191.40
2/15/2016,1200.90,1232.38,1234.58,1200.90
2/12/2016,1237.10,1248.25,1248.33,1232.63
2/11/2016,1246.60,1197.30,1261.08,1197.25
2/10/2016,1197.80,1189.68,1197.83,1181.68
2/09/2016,1188.95,1190.88,1198.98,1185.83
2/08/2016,1189.23,1168.83,1200.13,1164.58
2/05/2016,1173.40,1155.70,1174.48,1145.73
2/04/2016,1160.00,1141.75,1160.88,1139.88
2/03/2016,1142.50,1128.28,1145.28,1124.68
2/02/2016,1128.98,1128.33,1130.58,1122.93
2/01/2016,1129.00,1116.03,1131.88,1116.03
1/29/2016,1118.18,1115.58,1118.33,1108.95
1/28/2016,1120.00,1125.73,1125.98,1112.08
1/27/2016,1124.20,1120.43,1129.85,1115.13
1/26/2016,1120.05,1108.53,1123.03,1107.18
1/25/2016,1108.10,1097.90,1109.08,1097.38
1/24/2016,1097.68,1097.68,1097.68,1097.68
1/22/2016,1097.68,1101.35,1102.68,1094.48
1/21/2016,1106.20,1101.20,1107.18,1092.93
1/20/2016,1100.50,1088.13,1109.08,1087.73
1/19/2016,1082.20,1089.55,1094.45,1082.20
1/18/2016,1086.50,1090.35,1092.95,1086.50
1/15/2016,1088.95,1078.70,1097.08,1076.50
1/14/2016,1078.30,1093.50,1095.33,1071.63
1/13/2016,1096.00,1087.68,1096.75,1079.93
1/12/2016,1087.20,1095.38,1098.78,1083.68
1/11/2016,1092.80,1107.90,1108.38,1092.80
1/08/2016,1104.10,1108.93,1111.78,1094.28
1/07/2016,1108.40,1093.90,1110.08,1091.68
1/06/2016,1093.58,1077.98,1095.18,1075.48
1/05/2016,1077.35,1073.63,1081.98,1073.18
1/04/2016,1074.20,1065.10,1083.28,1061.98
12/31/2015,1060.83,1061.75,1063.48,1058.58
12/30/2015,1063.20,1069.28,1072.03,1059.55
12/29/2015,1067.30,1069.03,1075.08,1067.30
12/28/2015,1065.90,1076.15,1077.15,1065.90
12/24/2015,1076.05,1070.70,1076.93,1070.43
12/23/2015,1067.80,1073.08,1075.53,1067.80
12/22/2015,1072.40,1078.40,1080.58,1071.95
12/21/2015,1079.80,1066.35,1081.20,1064.05
12/20/2015,1070.30,1070.30,1070.30,1070.30
12/18/2015,1066.00,1051.40,1070.50,1051.20
12/17/2015,1048.30,1072.05,1072.93,1047.45
12/16/2015,1069.00,1061.40,1078.28,1061.33
12/15/2015,1058.10,1061.45,1068.53,1057.25
12/14/2015,1060.50,1073.85,1077.28,1060.43
12/11/2015,1074.10,1071.95,1079.58,1062.73
12/10/2015,1071.68,1072.43,1076.38,1070.08
12/09/2015,1073.50,1074.85,1085.38,1069.83
12/08/2015,1074.88,1071.25,1078.48,1068.08
12/07/2015,1071.30,1084.85,1086.58,1067.93
12/04/2015,1086.98,1063.70,1088.68,1058.63
12/03/2015,1054.00,1054.05,1065.43,1046.43
12/02/2015,1063.95,1069.08,1071.48,1051.03
12/01/2015,1068.80,1064.98,1074.73,1063.38
11/30/2015,1064.75,1058.50,1069.48,1053.48
11/27/2015,1058.20,1072.00,1073.48,1053.23
11/26/2015,1073.10,1071.35,1074.83,1070.30
11/25/2015,1080.00,1075.83,1080.63,1068.13
11/24/2015,1075.78,1069.30,1081.10,1069.15
11/23/2015,1065.00,1074.65,1076.73,1065.00
11/20/2015,1078.80,1082.25,1087.28,1076.05
11/19/2015,1082.20,1071.80,1086.28,1070.03
11/18/2015,1070.80,1071.85,1074.80,1065.88
11/17/2015,1070.25,1083.88,1084.63,1066.03
11/16/2015,1083.03,1088.15,1098.08,1081.63
11/13/2015,1083.70,1083.40,1088.13,1080.73
11/12/2015,1086.60,1087.75,1089.40,1075.35
11/11/2015,1086.23,1090.00,1093.60,1084.23
11/10/2015,1089.90,1092.35,1094.43,1085.68
11/09/2015,1092.13,1090.70,1095.33,1088.73
11/06/2015,1089.85,1104.85,1112.55,1085.70
11/05/2015,1103.95,1108.10,1111.55,1103.10
11/04/2015,1102.00,1118.30,1122.80,1102.00
11/03/2015,1114.20,1134.05,1138.28,1114.20
11/02/2015,1133.55,1141.50,1142.90,1133.18
11/01/2015,1142.05,1142.05,1142.05,1142.05
10/30/2015,1142.05,1145.88,1150.05,1139.58
10/29/2015,1146.78,1157.55,1162.75,1144.78
10/28/2015,1157.50,1167.45,1182.80,1153.05
10/27/2015,1167.25,1164.10,1168.40,1161.28
10/26/2015,1163.50,1163.15,1169.03,1162.55
10/25/2015,1163.05,1163.95,1163.95,1162.50
10/23/2015,1164.45,1166.40,1179.38,1159.63
10/22/2015,1168.50,1167.70,1171.78,1163.23
10/21/2015,1167.10,1176.55,1179.28,1164.23
10/20/2015,1173.50,1170.15,1180.33,1167.50
10/19/2015,1170.75,1176.65,1178.15,1168.75
10/16/2015,1177.55,1182.30,1184.48,1175.08
10/15/2015,1181.30,1184.75,1191.03,1176.63
10/14/2015,1185.73,1168.20,1189.78,1164.58
10/13/2015,1168.90,1168.90,1168.90,1168.90
10/12/2015,1169.90,1155.70,1169.90,1154.95
10/09/2015,1157.53,1139.25,1159.78,1139.25
10/08/2015,1154.00,1143.95,1154.00,1136.73
10/07/2015,1155.00,1147.05,1155.00,1142.63
10/06/2015,1153.90,1135.95,1153.90,1135.25
10/05/2015,1135.75,1137.20,1141.58,1130.38
10/04/2015,1138.13,1138.13,1138.13,1138.13
10/02/2015,1138.13,1113.95,1141.50,1105.30
10/01/2015,1114.08,1115.70,1118.78,1111.58
9/30/2015,1115.00,1127.45,1128.10,1112.23
9/29/2015,1127.25,1132.25,1134.33,1124.63
9/28/2015,1132.05,1145.50,1148.15,1128.33
9/25/2015,1145.80,1150.15,1151.15,1141.28
9/24/2015,1153.05,1132.10,1156.48,1131.95
9/23/2015,1130.40,1124.75,1133.98,1123.55
9/22/2015,1124.65,1132.55,1136.25,1121.73
9/21/2015,1133.40,1139.45,1140.05,1130.68
9/18/2015,1139.40,1131.15,1141.53,1127.65
9/17/2015,1130.85,1119.50,1133.85,1115.88
9/16/2015,1119.55,1105.50,1124.23,1104.15
9/15/2015,1105.40,1109.30,1109.30,1103.48
9/14/2015,1108.80,1107.65,1110.33,1103.75
9/13/2015,1107.90,1107.90,1107.90,1107.90
9/11/2015,1107.90,1111.15,1112.75,1098.75
9/10/2015,1111.65,1107.10,1114.68,1104.40
9/09/2015,1106.10,1122.00,1125.25,1101.73
9/08/2015,1121.80,1120.05,1126.78,1118.80
9/07/2015,1119.30,1123.35,1124.85,1117.50
9/04/2015,1123.00,1125.30,1130.28,1117.73
9/03/2015,1122.00,1133.90,1134.25,1121.10
9/02/2015,1134.05,1139.60,1142.50,1132.75
9/01/2015,1140.00,1137.50,1147.28,1137.30
8/31/2015,1134.50,1134.00,1136.68,1125.93
8/28/2015,1133.98,1125.65,1140.98,1124.13
8/27/2015,1125.85,1126.30,1129.33,1118.73
8/26/2015,1125.55,1140.45,1146.35,1117.93
8/25/2015,1140.65,1153.40,1156.55,1134.95
8/24/2015,1155.15,1164.65,1169.88,1147.13
8/21/2015,1160.15,1153.90,1167.45,1149.18
8/20/2015,1163.00,1133.75,1163.00,1132.85
8/19/2015,1136.60,1118.15,1140.00,1116.55
8/18/2015,1118.00,1118.25,1121.38,1110.43
8/17/2015,1114.30,1114.90,1122.58,1113.75
8/14/2015,1113.70,1115.35,1120.98,1111.98
8/13/2015,1115.05,1125.35,1126.45,1113.73
8/12/2015,1126.60,1109.05,1127.48,1102.03
8/11/2015,1109.03,1104.60,1116.85,1094.65
8/10/2015,1096.50,,1096.50,1096.50
8/09/2015,1094.20,1094.20,1094.20,1094.20
8/07/2015,1094.20,1089.95,1099.53,1083.35
8/06/2015,1089.60,1085.10,1093.88,1083.65
8/05/2015,1083.20,1087.40,1091.63,1083.18
8/04/2015,1082.90,1084.95,1094.53,1081.30
8/03/2015,1086.13,1095.48,1097.50,1085.93
7/31/2015,1094.53,1086.90,1102.98,1080.25
7/30/2015,1087.90,1105.85,1105.85,1083.05
7/29/2015,1114.00,1095.35,1114.00,1090.93
7/28/2015,1100.20,1095.20,1100.20,1091.83
7/27/2015,1094.33,1098.65,1105.05,1089.63
7/26/2015,1099.00,1099.00,1099.00,1099.00
7/24/2015,1099.00,1090.50,1101.58,1077.75
7/23/2015,1090.80,1095.00,1105.63,1087.48
7/22/2015,1094.50,1101.70,1103.30,1087.48
7/21/2015,1101.45,1098.75,1109.88,1097.25
7/20/2015,1108.00,1132.70,1133.25,1089.05
7/17/2015,1134.10,1144.85,1145.75,1131.40
7/16/2015,1139.90,1148.75,1149.45,1139.90
7/15/2015,1149.65,1155.55,1156.95,1144.43
7/14/2015,1155.90,1158.00,1159.13,1153.08
7/13/2015,1158.00,1162.65,1164.30,1151.53
7/10/2015,1163.90,1159.40,1164.93,1157.90
7/09/2015,1159.65,1159.45,1167.03,1156.15
7/08/2015,1158.60,1153.70,1164.68,1147.45
7/07/2015,1164.70,1170.35,1170.35,1148.78
7/06/2015,1170.15,1173.20,1175.10,1163.25
7/03/2015,1168.90,1165.85,1169.93,1165.10
7/02/2015,1172.10,1168.70,1172.10,1157.68
7/01/2015,1168.80,1178.00,1179.30,1167.93