Date,Average Sentiment
2015/6/3,0.74
2015/6/5,-0.8
2015/6/18,-0.97
2015/6/25,-0.97
2015/6/30,-0.99
2015/8/17,-0.9
2015/10/14,-0.46
2016/1/21,0.99
2016/2/11,0.69
2016/2/14,-0.1
2016/2/15,0.6
2016/2/17,-0.97
2016/2/18,-0.81
2016/2/19,-0.8
2016/2/20,-0.1
2016/2/23,0.37
2016/2/24,0.12
2016/2/25,0.99
2016/2/26,-0.92
2016/2/29,0.23
2016/3/3,0.37
2016/3/4,-0.42
2016/3/10,0.66
2016/3/11,-0.94
2016/3/14,1
2016/3/15,0.01
2016/3/17,-0.56
2016/3/18,0.34
2016/3/19,-0.4
2016/3/24,0.15
2016/3/28,-0.27
2016/3/29,-0.27
2016/3/30,0.4
2016/3/31,0.99
2016/4/4,0.99
2016/4/5,1
2016/4/6,0.36
2016/4/7,0.26
2016/4/12,-0.36
2016/4/13,0.72
2016/4/14,0.32
2016/4/15,0.9
2016/4/18,0.11
2016/4/19,0.44
2016/4/20,-0.23
2016/4/21,0.99
2016/4/22,-0.1
2016/4/25,0.3
2016/4/26,-0.15
2016/4/28,0.34
2016/4/29,-0.89
2016/5/3,-0.79
2016/5/11,0.54
2016/5/12,0.99
2016/5/16,0.38
2016/5/18,-0.62
2016/5/23,-0.94
2016/5/25,0.98
2016/5/31,0.99
2016/6/2,-0.3
2016/6/3,1
2016/6/7,0.3
2016/6/8,0.83
2016/6/9,0.68
2016/6/14,0.38
2016/6/17,0.99
2016/6/21,0
2016/6/28,0.98
2016/6/29,0.26
2016/6/30,-0.07
2016/7/5,-0.49
2016/7/6,0.69
2016/7/7,-0.59
2016/7/8,0.62
2016/7/9,0.48
2016/7/11,0.49
2016/7/12,-1
2016/7/13,-0.98
2016/7/14,1
2016/7/25,-0.27
2016/7/28,0.25
2016/7/29,-0.99
2016/8/1,-0.6
2016/8/2,0.42
2016/8/3,-0.77
2016/8/5,0
2016/8/8,0.51
2016/8/12,0.44
2016/8/22,0.12
2016/8/25,-0.6
2016/8/26,-0.23
2016/9/1,0.99
2016/9/5,0.99
2016/9/15,0.08
2016/9/22,-0.07
2016/9/26,-0.56
2016/9/28,0.67
2016/10/5,1
2016/10/7,1
2016/10/12,-0.36
2016/10/13,0.65
2016/10/18,0.03
2016/10/19,-0.75
2016/10/25,0.53
2016/10/27,1
2016/11/4,1
2016/11/7,0.99
2016/11/17,-0.59
2016/11/18,0.97
2016/11/21,1
2016/11/22,-0.1
2016/11/23,0.96
2016/11/30,1
2016/12/2,-0.51
2016/12/5,0.95
2016/12/15,0.8
2016/12/19,0.2
2016/12/21,0.99
2016/12/28,0.66
2016/12/29,0.2
2017/1/3,-0.98
2017/1/4,0.64
2017/1/6,0.98
2017/1/11,0.29
2017/1/12,0.73
2017/1/13,0.99
2017/1/19,0.51
2017/1/20,-0.91
2017/1/23,-1
2017/1/25,-0.99
2017/1/26,-0.85
2017/1/27,-1
2017/1/31,0.4
2017/2/1,0.9
2017/2/2,-0.67
2017/2/6,-0.49
2017/2/7,-1
2017/2/8,-0.4
2017/2/10,0.44
2017/2/15,-0.34
2017/2/23,-0.88
2017/2/24,0.62
2017/2/27,1
2017/3/2,-0.44
2017/3/7,-0.97
2017/3/9,0.96
2017/3/10,0.81
2017/3/11,0.42
2017/3/15,-1
2017/3/17,0.84
2017/3/22,0.3
2017/3/27,-0.98
2017/4/9,0.3
2017/4/10,0.34
2017/4/12,-0.15
2017/4/20,-0.22
2017/4/21,0.62
2017/4/23,0.86
2017/4/28,1
2017/5/8,0.75
2017/5/10,0.38
2017/5/13,0.34
2017/5/15,0.56
2017/5/19,0.54
2017/5/22,0.08
2017/5/23,0.97
2017/5/24,0.49
2017/5/25,0.49
2017/5/26,1
2017/5/31,0.3
2017/6/6,-0.77
2017/6/10,-0.98
2017/6/13,0.15
2017/6/14,-0.1
2017/6/15,1
2017/6/16,-0.32
2017/6/19,-0.99
2017/6/20,-0.14
2017/6/22,0.89
2017/6/27,-1
2017/6/30,-1
2017/7/3,1
2017/7/6,0.99
2017/7/7,0.27
2017/7/11,-0.35
2017/7/12,0.96
2017/7/13,0.01
2017/7/15,-0.98
2017/7/17,-0.1
2017/7/18,0.18
2017/7/20,-0.08
2017/7/21,0.74
2017/7/26,0.26
2017/7/31,0.95
2017/8/1,1
2017/8/8,-0.3
2017/8/18,0.3
2017/8/19,-0.93
2017/8/22,0.18
2017/8/23,1
2017/8/24,0.85
2017/8/27,-0.99
2017/8/30,1
2017/9/1,0.36
2017/9/4,0.92
2017/9/6,1
2017/9/8,-0.97
2017/9/12,0.38
2017/9/14,0.99
2017/9/19,-0.3
2017/9/20,0.4
2017/9/28,-0.98
2017/10/2,-0.91
2017/10/3,0.28
2017/10/4,0.19
2017/10/6,-0.03
2017/10/9,-0.98
2017/10/11,0.58
2017/10/13,0.3
2017/10/19,0.36
2017/10/25,0.78
2017/11/2,0.25
2017/11/8,-0.4
2017/11/10,-0.98
2017/11/15,1
2017/11/16,0.68
2017/11/17,-0.16
2017/11/22,0.4
2017/11/27,0.66
2017/12/1,0.96
2017/12/2,0.05
2017/12/5,-0.97
2017/12/6,0.59
2017/12/11,-0.3
2017/12/14,0.59
2017/12/19,-0.05
2017/12/20,-0.03
2017/12/29,0.35
2018/1/2,1
2018/1/5,0.67
2018/1/8,0.62
2018/1/9,0.27
2018/1/18,0.99
2018/1/23,-0.4
2018/1/25,-0.6
2018/1/29,0.03
2018/1/30,0.36
2018/1/31,-0.93
2018/2/1,0.99
2018/2/6,0.3
2018/2/9,-0.48
2018/2/12,0.34
2018/2/13,-1
2018/2/15,0.46
2018/2/16,0.68
2018/2/19,0.27
2018/2/20,0.4
2018/2/21,-0.98
2018/2/22,0.82
2018/2/26,-0.06
2018/2/27,-0.99
2018/2/29,-0.83
2018/3/1,-0.15
2018/3/6,0.99
2018/3/7,1
2018/3/8,-0.05
2018/3/12,0.95
2018/3/13,1
2018/3/14,0.96
2018/3/15,0.98
2018/3/16,0.98
2018/3/19,0.99
2018/3/20,0.63
2018/3/22,0.56
2018/3/23,0.22
2018/3/26,1
2018/3/27,0.77
2018/3/29,0.91
2018/3/30,0.4
2018/4/2,0.95
2018/4/4,0.98
2018/4/5,-0.88
2018/4/6,0.3
2018/4/7,-0.1
2018/4/9,-0.06
2018/4/10,0.07
2018/4/11,0.29
2018/4/12,-0.02
2018/4/16,0.34
2018/4/18,-0.9
2018/4/20,0.98
2018/4/23,-0.42
2018/4/24,0.25
2018/4/25,-0.89
2018/4/26,0.4
2018/4/27,1
2018/5/2,0.34
2018/5/9,0.69
2018/5/11,0.3
2018/5/22,-0.57
2018/5/24,0.21
2018/5/31,1
2018/6/4,-0.44
2018/6/5,0.73
2018/6/7,0.08
2018/6/8,0.44
2018/6/11,-0.36
2018/6/12,0.79
2018/6/13,0.52
2018/6/14,-0.26
2018/6/15,1
2018/6/18,-0.97
2018/6/20,-0.32
2018/6/22,0
2018/6/27,0.89
2018/6/29,0.57
2018/7/3,0.01
2018/7/5,0.99
2018/7/13,0.98
2018/7/17,-1
2018/7/19,1
2018/7/27,-0.99
2018/8/2,0.76
2018/8/3,0.85
2018/8/6,0.99
2018/8/8,-0.53
2018/8/10,0.99
2018/8/15,-0.97
2018/8/17,-0.97
2018/8/20,-0.67
2018/8/21,0.46
2018/8/22,0.53
2018/8/23,-0.67
2018/8/28,1
2018/8/29,0.76
2018/8/30,0.13
2018/9/3,1
2018/9/5,0.78
2018/9/6,-0.38
2018/9/10,0.45
2018/9/11,-0.5
2018/9/12,0.3
2018/9/18,-0.36
2018/9/20,0.04
2018/9/21,-1
2018/9/22,0.99
2018/9/24,0.53
2018/9/25,0.25
2018/9/26,-0.95
2018/9/27,0.02
2018/9/28,-0.54
2018/10/1,0.13
2018/10/3,0.53
2018/10/10,1
2018/10/11,-0.59
2018/10/12,0
2018/10/17,-0.95
2018/10/18,0.99
2018/10/19,-0.97
2018/10/20,1
2018/10/22,0.41
2018/10/24,-0.24
2018/10/25,0.99
2018/10/26,0.99
2018/10/27,0.98
2018/10/30,0.99
2018/10/31,0.08
2018/11/1,0.86
2018/11/2,-0.78
2018/11/5,0.38
2018/11/8,0.39
2018/11/9,-0.48
2018/11/12,-0.32
2018/11/13,-0.44
2018/11/14,-0.31
2018/11/16,0.23
2018/11/19,0.32
2018/11/21,0
2018/11/22,0.23
2018/11/23,-1
2018/11/28,0.18
2018/11/29,0
2018/11/30,0.95
2018/12/3,0.94
2018/12/4,0.49
2018/12/7,0.92
2018/12/12,0.23
2018/12/17,0.99
2018/12/18,0.71
2018/12/19,0.1
2018/12/20,0.23
2018/12/27,-0.98
2018/12/28,-0.65
2018/12/31,-0.95
2019/1/3,-0.99
2019/1/8,-0.4
2019/1/15,0.99
2019/1/18,0.98
2019/1/22,-0.97
2019/1/23,0.4
2019/1/24,0.46
2019/1/25,1
2019/1/30,-0.97
2019/2/1,0.98
2019/2/5,-0.92
2019/2/6,0.98
2019/2/13,-0.88
2019/2/14,0.54
2019/2/15,0.61
2019/2/18,0.03
2019/2/19,0.72
2019/2/25,-0.54
2019/2/26,-0.98
2019/2/27,-0.36
2019/2/28,-0.28
2019/3/1,-0.99
2019/3/4,-0.63
2019/3/5,0.96
2019/3/6,0.95
2019/3/8,0.89
2019/3/11,0.97
2019/3/13,-0.27
2019/3/14,1
2019/3/15,-0.94
2019/3/19,0.22
2019/3/20,0.99
2019/3/22,0.27
2019/3/26,0.36
2019/3/28,0.68
2019/4/1,-0.31
2019/4/2,-0.07
2019/4/3,0.3
2019/4/4,0.96
2019/4/9,-0.56
2019/4/10,0.32
2019/4/11,-0.69
2019/4/12,-0.53
2019/4/16,-0.95
2019/4/17,-0.32
2019/4/18,0.93